sku,name,brand,purchase_price,selling_price,stock,min_stock,category
RLM-C85P-8/128,Realme C85 Pro 8/128GB,Realme,3050000,3250000,16,3,Smartphone
RLM-C85P-8/256,Realme C85 Pro 8/256GB,Realme,3150000,3600000,29,4,Smartphone
RLM-N70-4/128,Realme Note 70 4/128GB,Realme,1495000,1587000,97,8,Smartphone
RLM-N70-4/64,Realme Note 70 4/64GB,Realme,1423000,1506000,86,3,Smartphone
RLM-N80-4/128,Realme Note 80 4/128GB,Realme,1875000,2000000,59,8,Smartphone
RLM-N80-4/64,Realme Note 80 4/64GB,Realme,1590000,1690000,86,9,Smartphone
SAM-A065G-6/128,Samsung A06 5G 6/128GB,Samsung,1900000,2000000,77,6,Smartphone
SAM-A07-4/128,Samsung A07 4/128GB,Samsung,1577000,1700000,80,2,Smartphone
SAM-A07-4/64,Samsung A07 4/64GB,Samsung,1381000,1486000,97,3,Smartphone
SAM-A075G-6/128,Samsung A07 5G 6/128GB,Samsung,2050000,2750000,97,10,Smartphone
SAM-A07-6/128,Samsung A07 6/128GB,Samsung,1961000,2079000,44,7,Smartphone
SAM-A07-8/256,Samsung A07 8/256GB,Samsung,2298000,2425000,24,6,Smartphone
SAM-A16-8/128,Samsung A16 8/128GB,Samsung,2350000,2475000,65,4,Smartphone
SAM-A175G-8/256,Samsung A17 5G 8/256GB,Samsung,3534000,3681000,68,2,Smartphone
SAM-A17-8/128,Samsung A17 8/128GB,Samsung,2821000,2967000,43,10,Smartphone
SAM-A17-8/256,Samsung A17 8/256GB,Samsung,3230000,3380000,32,10,Smartphone
SAM-A265G-8/256,Samsung A26 5G 8/256GB,Samsung,3767000,4025000,23,6,Smartphone
SAM-A365G-8/256,Samsung A36 5G 8/256GB,Samsung,4550000,5200000,91,10,Smartphone
SAM-A565G-12/256,Samsung A56 5G 12/256GB,Samsung,5740000,6200000,87,5,Smartphone
SAM-A565G-8/256,Samsung A56 5G 8/256GB,Samsung,5481000,6012000,29,7,Smartphone
SAM-GA07-6/128,Samsung Galaxy A07 6/128GB,Samsung,1946000,2067000,30,10,Smartphone
SAM-S25FE-8/256,Samsung S25 FE 8/256GB,Samsung,8475000,8700000,77,2,Smartphone
SAM-S26U-16/1TB,Samsung S26 Ultra 16/1TB,Samsung,24500000,27500000,86,7,Smartphone
SAM-ZF7-12/256,Samsung Z Fold 7 12/256GB,Samsung,25350000,26000000,72,2,Smartphone
TEC-C40P5G-8/256,Tecno Camon 40 Pro 5G 8/256GB,Tecno,3831000,4062000,24,7,Smartphone
TEC-C50-8/128,Tecno Camon 50 8/128GB,Tecno,3371000,3556000,49,5,Smartphone
TEC-C50-8/256,Tecno Camon 50 8/256GB,Tecno,3950000,4200000,17,5,Smartphone
TEC-M11-8/128,Tecno Megapad 11 8/128GB,Tecno,2512000,2700000,82,3,Smartphone
TEC-M11-8/256,Tecno Megapad 11 8/256GB,Tecno,2718000,2852000,20,9,Smartphone
TEC-MSE-4/128,Tecno Megapad SE 4/128GB,Tecno,2258000,2475000,18,10,Smartphone
TEC-P75G-8/128,Tecno Pova 7 5G 8/128GB,Tecno,2817000,3067000,26,4,Smartphone
TEC-P75G-8/256,Tecno Pova 7 5G 8/256GB,Tecno,3065000,3220000,94,9,Smartphone
TEC-P7-8/128,Tecno Pova 7 8/128GB,Tecno,2150000,2279000,80,4,Smartphone
TEC-P7-8/256,Tecno Pova 7 8/256GB,Tecno,2350000,2480000,43,10,Smartphone
TEC-P7C5G-8/256,Tecno Pova 7 Curve 5G 8/256GB,Tecno,2900000,3000000,87,8,Smartphone
TEC-P7C-8/256,Tecno Pova 7 Curve 8/256GB,Tecno,2919000,3100000,37,10,Smartphone
TEC-P7U5G-12/256,Tecno Pova 7 Ultra 5G 12/256GB,Tecno,4750000,5000000,98,5,Smartphone
TEC-PC5G-8/256,Tecno Pova Curve 5G 8/256GB,Tecno,2925000,3100000,49,8,Smartphone
TEC-S40-6/128,Tecno Spark 40 6/128GB,Tecno,1792000,1910000,95,7,Smartphone
TEC-S40-8/256,Tecno Spark 40 8/256GB,Tecno,1983000,2106000,66,10,Smartphone
TEC-S40PP-8/128,Tecno Spark 40 Pro Plus 8/128GB,Tecno,2522000,2675000,67,3,Smartphone
TEC-S40PP-8/256,Tecno Spark 40 Pro Plus 8/256GB,Tecno,2720000,2843000,41,5,Smartphone
TEC-SGO3-4/128,Tecno Spark Go 3 4/128GB,Tecno,1505000,1600000,18,7,Smartphone
TEC-SGO3-4/64,Tecno Spark Go 3 4/64GB,Tecno,1314000,1375000,12,10,Smartphone
VIV-V60L-8/128,Vivo V60 Lite 8/128GB,Vivo,3700000,3800000,39,5,Smartphone
VIV-Y04S-4/128,Vivo Y04s 4/128GB,Vivo,1575000,1800000,10,3,Smartphone
VIV-Y04S-4/64,Vivo Y04s 4/64GB,Vivo,1425000,1550000,100,2,Smartphone
VIV-Y05-4/64,Vivo Y05 4/64GB,Vivo,1810000,1850000,39,3,Smartphone
VIV-Y29-8/256,Vivo Y29 8/256GB,Vivo,2650000,2900000,14,7,Smartphone
VIV-Y400-8/128,Vivo Y400 8/128GB,Vivo,3150000,3200000,19,10,Smartphone
XIA-PC71-4/128,Poco C71 4/128GB,Xiaomi,1341000,1450000,40,6,Smartphone
XIA-PC85-8/256,Poco C85 8/256GB,Xiaomi,1850000,2000000,95,9,Smartphone
XIA-PF75G-12/512,Poco F7 5G 12/512GB,Xiaomi,5747000,5994000,37,10,Smartphone
XIA-PM7P5G-8/256,Poco M7 Pro 5G 8/256GB,Xiaomi,2650000,2800000,26,9,Smartphone
XIA-PX7P-12/5126,Poco X7 Pro 12/5126GB,Xiaomi,4855000,5090000,41,9,Smartphone
XIA-PX7P-12/512,Poco X7 Pro 12/512GB,Xiaomi,4950000,5050000,62,5,Smartphone
XIA-R15-8/128,Redmi 15 8/128GB,Xiaomi,2059000,2202000,22,3,Smartphone
XIA-R15-8/256,Redmi 15 8/256GB,Xiaomi,2254000,2389000,94,8,Smartphone
XIA-R15C-6/128,Redmi 15c 6/128GB,Xiaomi,1748000,1828000,55,8,Smartphone
XIA-R15C-8/256,Redmi 15c 8/256GB,Xiaomi,1908000,2056000,62,9,Smartphone
XIA-RA5-4/128,Redmi A5 4/128GB,Xiaomi,1287000,1356000,16,3,Smartphone
XIA-RA7P-4/128,Redmi A7 Pro 4/128GB,Xiaomi,1685000,1800000,17,8,Smartphone
XIA-RN145G-8/256,Redmi Note 14 5G 8/256GB,Xiaomi,3100000,3300000,53,3,Smartphone
XIA-RN14-8/128,Redmi Note 14 8/128GB,Xiaomi,2282000,2375000,41,5,Smartphone
XIA-RN14-8/256,Redmi Note 14 8/256GB,Xiaomi,2265000,2400000,34,10,Smartphone
XIA-RN155G-12/256,Redmi Note 15 5G 12/256GB,Xiaomi,4325000,4600000,67,4,Smartphone
XIA-RN155G-12/512,Redmi Note 15 5G 12/512GB,Xiaomi,4325000,4560000,64,4,Smartphone
XIA-RN155G-8/256,Redmi Note 15 5G 8/256GB,Xiaomi,3573000,3748000,45,9,Smartphone
XIA-RN15-8/128,Redmi Note 15 8/128GB,Xiaomi,2724000,2875000,41,3,Smartphone
XIA-RN15-8/256,Redmi Note 15 8/256GB,Xiaomi,2925000,3073000,66,10,Smartphone
XIA-RN15P5G-12/512,Redmi Note 15 Pro 5G 12/512GB,Xiaomi,5268000,5529000,22,2,Smartphone
XIA-RN15P5G-8/256,Redmi Note 15 Pro 5G 8/256GB,Xiaomi,4425000,4645000,93,10,Smartphone
XIA-RN15PP-12/512,Redmi Note 15 Pro Plus 12/512GB,Xiaomi,6400000,6600000,11,3,Smartphone
XIA-RN15PP5G-12/512,Redmi Note 15 Pro Plus 5G 12/512GB,Xiaomi,6375000,6800000,40,4,Smartphone
XIA-15T-12/512,Xiaomi 15t 12/512GB,Xiaomi,7500000,8000000,62,9,Smartphone
XIA-15TP-12/512,Xiaomi 15t Pro 12/512GB,Xiaomi,9975000,10467000,71,5,Smartphone
XIA-N145G-8/256,Xiaomi Note 14 5G 8/256GB,Xiaomi,3100000,3150000,61,2,Smartphone
